#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Maghemite: Maghemite
#------------------------------------------
# energy, Maghemite
 7526.84277,  0.99907523
 7530.71289,  0.99977268
 7534.60205,  1.00026643
 7538.51123,  1.00063104
 7542.43994,  1.00071353
 7546.38867,  1.00082738
 7550.35693,  1.00077823
 7554.34473,  1.00033602
 7558.35205,  0.99990522
 7562.37939,  0.99950737
 7566.42627,  0.99942162
 7570.49268,  0.99948837
 7574.57861,  0.99968878
 7578.68457,  0.99972068
 7582.81006,  0.99969877
 7586.95508,  0.99964328
 7591.12012,  0.99952146
 7595.30469,  0.99949974
 7599.50879,  0.99940506
 7603.73291,  0.99973882
 7607.97607,  0.99957910
 7612.23975,  0.99993378
 7616.52246,  0.99986565
 7620.82471,  1.00003177
 7625.14697,  1.00001651
 7629.48926,  0.99990821
 7633.85059,  0.99992712
 7638.23193,  0.99981081
 7642.63281,  0.99939885
 7647.05322,  0.99923992
 7651.49365,  0.99433112
 7655.95361,  0.99926001
 7660.43311,  0.99931984
 7664.93262,  0.99924513
 7669.45117,  0.99926412
 7673.98975,  0.99923795
 7678.54834,  0.99928915
 7683.12598,  0.99954912
 7687.72363,  0.99972308
 7692.34082,  0.99985735
 7696.97803,  1.00006782
 7701.63477,  1.00023733
 7706.31104,  1.00029820
 7711.00684,  1.00033313
 7715.72266,  1.00044690
 7720.45801,  1.00037235
 7725.21289,  1.00038556
 7729.98730,  1.00029164
 7734.78174,  1.00035860
 7739.59570,  1.00001930
 7744.42969,  1.00004309
 7749.28271,  1.00011288
 7754.15576,  1.00000032
 7759.04834,  0.99994694
 7763.96094,  0.99986978
 7768.89307,  0.99996319
 7773.84473,  0.99988681
 7778.81592,  0.99994535
 7783.80713,  1.00008932
 7788.81738,  1.00013900
 7793.84814,  1.00033985
 7798.89795,  1.00045169
 7803.96777,  1.00040846
 7809.05713,  1.00038971
 7814.16602,  1.00036691
 7819.29492,  1.00039803
 7824.44336,  1.00022135
 7829.61133,  1.00028417
 7834.79932,  1.00012391
